Product,Price
"Cartela de proximitate RFID 125Khz Cprox, ID CARD","1 , 69 Lei"
"Tag de proximitate RFID de tip Breloc cod secvential, IDT-2000EM","1 , 89 Lei"
"Tag de proximitate Mifare, pentru videointerfon, IDT-2000MF","3 , 49 Lei"
"Cartela de proximitate RFID (125KHz) numerotata secvential, ID CARD1","3 , 75 Lei"
"Cartela de proximitate Mifare 13,56 Mhz, IDT-1001MF","3 , 99 Lei"
"Tag de proximitate cu cip MIFARE (13.56MHz), Hikvision, DS-K7M102-M","3 , 99 Lei"
"Tag de proximitate PROGRAMABIL, RFID 125 Khz, IDT-2000EM-RW","4 , 29 Lei"
"Tag NFC antimetal cu cip 13.56 MHz, NFC-2013-gy","5 , 19 Lei"
"Cartela de proximitate duala RFID 125Khz si MIFARE 13,56Mhz, IDT-1001EM/MF","5 , 99 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, verde IDT-4001EM-GN","5 , 99 Lei"
"Cartela interfon Electra, TAG.ELT.000","6 , 29 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, Rosie, IDT-4009EM-RD","7 , 49 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, Albastra, IDT-4009EM-BL","7 , 49 Lei"
"Bratara de proximitate din silicon cu catarama 125Khz, galbena, IDT-4009EM-YO","7 , 49 Lei"
"Bratara de proximitate din silicon cu catarama metalica, 125Khz, Verde, IDT-4009EM-GN","7 , 49 Lei"
Cartela de proximitate MIFARE s50 pentru acces hotelier HLC-M-A,"8 , 69 Lei"
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Neagra, IDT-4009MF-BK","8 , 99 Lei"
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Verde, IDT-4009MF-GN","8 , 99 Lei"
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Rosie, IDT-4009MF-RD","8 , 99 Lei"
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Galbena, IDT-4009MF-YO","8 , 99 Lei"
"Bratara de proximitate din silicon cu catarama, mifare 13.56Khz, Albastra, IDT-4009MF-BL","8 , 99 Lei"
Tag UHF Anti Metal ACM-UHF-M,"9 , 99 Lei"
"Doza derivatie audio, simpla, montaj aparent, ELECTRA, DDA.000","10 , 99 Lei"
Adaos pentru yala aplicata Electra ADS.13x.YEM,"10 , 99 Lei"
"Cartele de acces TEMIC pentru sistem hotelier, HLC-T-K-V20","11 , 49 Lei"
"Cutie montaj ingropat din PVC, HIKVISION DS-KAB86","11 , 99 Lei"
Breloc MIFARE pentru incuietoarea de apart-hotel DLK-929SS-6M,"12 , 99 Lei"
Set 3 adaosuri pentru inchizator yala Electra SET.235.INC,"13 , 99 Lei"
Legatura flexibila COPEX Electra LEG.FLX.USA,"14 , 99 Lei"
"Card de proximitate standard, cu orificiu pentru prindere la chei, XSF si W26, pentru cititoare Kantech, P10SHL","22 , 99 Lei"
"Suport pentru videointerfon, material ADC12, Hikvision DS-KAB21-B","22 , 99 Lei"
Telecomanda pentru Yala SX-12,"23 , 99 Lei"
"Tag de proximitate, Mifare, DESFire 13.56 Mhz, Negru, AJAX TAG BL","34 , 99 Lei"
"Cutie de montaj aparent cu protectie la ploaie pentru interfoanele Hikvision DS-KV6113, KABV6113-RS/S","34 , 99 Lei"
"Cutie de protectie pentru VTO2211G, montare la suprafata, IP65, VTM09R Dahua","34 , 99 Lei"
"Tag de proximitate, Mifare, DESFire 13.56 Mhz, Alb, AJAX TAG WH","34 , 99 Lei"
Adaptor video 6 - 4 fire Electra ADP.V0604.ELB,"39 , 99 Lei"
"Post exterior interfon, plastic, COMMAX DR-2D","49 , 99 Lei"
"Carcasa protectie videointerfon, otel, montaj aparent, Hikvision, DS-KABV8113-RS/S","57 , 99 Lei"
"Carcasa protectie videointerfon, otel, montaj ingropat, Hikvision, DS-KABV8113-RS/F","57 , 99 Lei"
"Cutie de montaj aparent pentru videointerfon scara de bloc, Dahua, VTM117","64 , 99 Lei"
"Amortizor pentru usi, 25-35KG, aluminiu, ACM-M59","64 , 99 Lei"
"Modul simplu pentru carcasa modulara Dahua, VTO4202F-MN","65 , 99 Lei"
